Frame,LEFT_SHOULDER_to_LEFT_ELBOW_start_x,LEFT_SHOULDER_to_LEFT_ELBOW_start_y,LEFT_SHOULDER_to_LEFT_ELBOW_end_x,LEFT_SHOULDER_to_LEFT_ELBOW_end_y,LEFT_ELBOW_to_LEFT_WRIST_start_x,LEFT_ELBOW_to_LEFT_WRIST_start_y,LEFT_ELBOW_to_LEFT_WRIST_end_x,LEFT_ELBOW_to_LEFT_WRIST_end_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_y,RIGHT_ELBOW_to_RIGHT_WRIST_start_x,RIGHT_ELBOW_to_RIGHT_WRIST_start_y,RIGHT_ELBOW_to_RIGHT_WRIST_end_x,RIGHT_ELBOW_to_RIGHT_WRIST_end_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y,LEFT_HIP_to_LEFT_KNEE_start_x,LEFT_HIP_to_LEFT_KNEE_start_y,LEFT_HIP_to_LEFT_KNEE_end_x,LEFT_HIP_to_LEFT_KNEE_end_y,LEFT_KNEE_to_LEFT_ANKLE_start_x,LEFT_KNEE_to_LEFT_ANKLE_start_y,LEFT_KNEE_to_LEFT_ANKLE_end_x,LEFT_KNEE_to_LEFT_ANKLE_end_y,RIGHT_HIP_to_RIGHT_KNEE_start_x,RIGHT_HIP_to_RIGHT_KNEE_start_y,RIGHT_HIP_to_RIGHT_KNEE_end_x,RIGHT_HIP_to_RIGHT_KNEE_end_y,RIGHT_KNEE_to_RIGHT_ANKLE_start_x,RIGHT_KNEE_to_RIGHT_ANKLE_start_y,RIGHT_KNEE_to_RIGHT_ANKLE_end_x,RIGHT_KNEE_to_RIGHT_ANKLE_end_y,LEFT_SHOULDER_to_LEFT_HIP_start_x,LEFT_SHOULDER_to_LEFT_HIP_start_y,LEFT_SHOULDER_to_LEFT_HIP_end_x,LEFT_SHOULDER_to_LEFT_HIP_end_y,RIGHT_SHOULDER_to_RIGHT_HIP_start_x,RIGHT_SHOULDER_to_RIGHT_HIP_start_y,RIGHT_SHOULDER_to_RIGHT_HIP_end_x,RIGHT_SHOULDER_to_RIGHT_HIP_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y
0,50,345,32,425,32,425,72,447,144,323,156,400,156,400,194,454,50,345,144,323,65,491,124,489,65,491,67,642,67,642,45,776,124,489,118,640,118,640,120,778,50,345,65,491,144,323,124,489,65,491,124,489
1,52,344,31,425,31,425,65,456,145,323,158,399,158,399,188,459,52,344,145,323,66,491,124,489,66,491,67,640,67,640,46,770,124,489,117,638,117,638,119,771,52,344,66,491,145,323,124,489,66,491,124,489
2,52,344,30,425,30,425,65,460,145,323,158,399,158,399,184,461,52,344,145,323,67,491,124,490,67,491,68,639,68,639,47,769,124,490,115,637,115,637,116,771,52,344,67,491,145,323,124,490,67,491,124,490
3,53,344,30,426,30,426,60,467,147,323,161,398,161,398,180,461,53,344,147,323,67,491,124,489,67,491,68,639,68,639,47,770,124,489,115,637,115,637,117,772,53,344,67,491,147,323,124,489,67,491,124,489
4,53,344,30,426,30,426,58,468,147,323,162,396,162,396,179,462,53,344,147,323,67,490,124,489,67,490,68,638,68,638,47,769,124,489,115,637,115,637,117,771,53,344,67,490,147,323,124,489,67,490,124,489
5,55,342,27,421,27,421,56,467,149,323,163,393,163,393,176,461,55,342,149,323,67,490,124,489,67,490,68,638,68,638,47,769,124,489,117,636,117,636,117,771,55,342,67,490,149,323,124,489,67,490,124,489
6,55,342,27,420,27,420,55,468,150,323,164,393,164,393,176,461,55,342,150,323,67,490,124,489,67,490,67,638,67,638,47,769,124,489,118,635,118,635,120,770,55,342,67,490,150,323,124,489,67,490,124,489
7,55,342,26,420,26,420,55,469,149,322,164,390,164,390,174,461,55,342,149,322,67,490,124,488,67,490,67,638,67,638,47,769,124,488,118,635,118,635,121,770,55,342,67,490,149,322,124,488,67,490,124,488
8,55,343,26,420,26,420,55,469,149,322,164,390,164,390,174,461,55,343,149,322,68,490,124,488,68,490,67,638,67,638,47,769,124,488,118,635,118,635,121,770,55,343,68,490,149,322,124,488,68,490,124,488
9,55,343,26,420,26,420,56,473,149,322,167,389,167,389,175,461,55,343,149,322,68,491,124,489,68,491,67,638,67,638,47,769,124,489,118,635,118,635,120,770,55,343,68,491,149,322,124,489,68,491,124,489
10,55,344,26,421,26,421,56,472,149,322,168,389,168,389,175,461,55,344,149,322,68,492,123,490,68,492,68,638,68,638,47,769,123,490,118,635,118,635,120,770,55,344,68,492,149,322,123,490,68,492,123,490
11,55,344,26,421,26,421,57,471,150,324,170,390,170,390,176,463,55,344,150,324,68,492,125,490,68,492,68,638,68,638,47,768,125,490,118,635,118,635,121,770,55,344,68,492,150,324,125,490,68,492,125,490
12,54,344,26,421,26,421,59,468,150,324,171,392,171,392,176,465,54,344,150,324,68,492,125,491,68,492,67,638,67,638,47,768,125,491,118,635,118,635,121,767,54,344,68,492,150,324,125,491,68,492,125,491
